T{0;20;1}
T{1;21;2}
T{2;22;3}
T{3;23;4}
T{4;24;5}
T{5;25;6}
T{6;26;7}
T{7;27;8}
T{8;28;9}
T{9;29;30}
T{10;30;31}
T{11;31;32}
T{12;32;33}
T{13;33;34}
T{14;34;35}
T{15;35;36}
T{16;36;37}
T{17;37;38}
T{18;38;39}
T{20;40;21}
T{21;41;22}
T{22;42;23}
T{23;43;24}
T{24;44;25}
T{25;45;26}
T{26;46;27}
T{27;47;28}
T{28;48;29}
T{29;49;50}
T{30;50;51}
T{31;51;52}
T{32;52;53}
T{33;53;54}
T{34;54;55}
T{35;55;56}
T{36;56;57}
T{37;57;58}
T{38;58;59}
T{40;60;61}
T{41;61;62}
T{42;62;63}
T{43;63;64}
T{44;64;65}
T{45;65;66}
T{46;66;67}
T{47;67;68}
T{48;68;69}
T{49;69;70}
T{50;70;51}
T{51;71;52}
T{52;72;53}
T{53;73;54}
T{54;74;55}
T{55;75;56}
T{56;76;57}
T{57;77;58}
T{58;78;59}
T{60;80;81}
T{61;81;82}
T{62;82;83}
T{63;83;84}
T{64;84;85}
T{65;85;86}
T{66;86;87}
T{67;87;88}
T{68;88;89}
T{69;89;90}
T{70;90;71}
T{71;91;72}
T{72;92;73}
T{73;93;74}
T{74;94;75}
T{75;95;76}
T{76;96;77}
T{77;97;78}
T{78;98;79}
T{20;21;1}
T{21;22;2}
T{22;23;3}
T{23;24;4}
T{24;25;5}
T{25;26;6}
T{26;27;7}
T{27;28;8}
T{28;29;9}
T{9;30;10}
T{10;31;11}
T{11;32;12}
T{12;33;13}
T{13;34;14}
T{14;35;15}
T{15;36;16}
T{16;37;17}
T{17;38;18}
T{18;39;19}
T{40;41;21}
T{41;42;22}
T{42;43;23}
T{43;44;24}
T{44;45;25}
T{45;46;26}
T{46;47;27}
T{47;48;28}
T{48;49;29}
T{29;50;30}
T{30;51;31}
T{31;52;32}
T{32;53;33}
T{33;54;34}
T{34;55;35}
T{35;56;36}
T{36;57;37}
T{37;58;38}
T{38;59;39}
T{40;61;41}
T{41;62;42}
T{42;63;43}
T{43;64;44}
T{44;65;45}
T{45;66;46}
T{46;67;47}
T{47;68;48}
T{48;69;49}
T{49;70;50}
T{70;71;51}
T{71;72;52}
T{72;73;53}
T{73;74;54}
T{74;75;55}
T{75;76;56}
T{76;77;57}
T{77;78;58}
T{78;79;59}
T{60;81;61}
T{61;82;62}
T{62;83;63}
T{63;84;64}
T{64;85;65}
T{65;86;66}
T{66;87;67}
T{67;88;68}
T{68;89;69}
T{69;90;70}
T{90;91;71}
T{91;92;72}
T{92;93;73}
T{93;94;74}
T{94;95;75}
T{95;96;76}
T{96;97;77}
T{97;98;78}
T{98;99;79}
