T{410;364;1}
T{3;432;4}
T{4;23;5}
T{10;24;25}
T{25;352;11}
T{491;326;453}
T{323;26;39}
T{20;382;27}
T{22;325;364}
T{429;390;325}
T{23;32;385}
T{33;387;467}
T{394;360;474}
T{451;442;16}
T{27;356;41}
T{29;43;30}
T{31;432;429}
T{400;33;488}
T{353;471;47}
T{353;36;35}
T{38;52;53}
T{40;38;53}
T{41;54;55}
T{359;42;56}
T{401;43;67}
T{45;57;58}
T{444;58;59}
T{371;46;34}
T{405;439;46}
T{404;51;50}
T{337;63;80}
T{55;372;64}
T{359;56;66}
T{69;59;476}
T{60;70;71}
T{316;60;371}
T{477;74;61}
T{335;495;75}
T{338;78;79}
T{64;82;83}
T{70;475;71}
T{72;91;366}
T{332;75;74}
T{106;76;335}
T{78;320;79}
T{334;409;80}
T{80;409;81}
T{370;96;97}
T{83;370;98}
T{430;380;100}
T{321;430;101}
T{321;88;87}
T{89;88;321}
T{104;330;103}
T{90;412;105}
T{93;396;365}
T{77;106;95}
T{445;109;426}
T{97;110;98}
T{100;489;112}
T{112;485;100}
T{101;102;103}
T{468;104;103}
T{116;377;105}
T{396;347;117}
T{345;418;94}
T{443;375;95}
T{426;124;403}
T{403;97;426}
T{110;97;403}
T{480;112;315}
T{113;485;455}
T{463;113;129}
T{373;468;102}
T{479;373;463}
T{115;328;130}
T{115;482;116}
T{117;131;132}
T{118;147;133}
T{345;133;119}
T{120;135;121}
T{136;121;135}
T{151;449;136}
T{123;138;124}
T{124;139;125}
T{125;140;126}
T{374;402;131}
T{147;118;132}
T{133;148;407}
T{150;135;134}
T{137;151;152}
T{153;314;138}
T{139;154;140}
T{481;158;129}
T{328;479;143}
T{438;376;145}
T{438;499;376}
T{149;162;176}
T{433;149;176}
T{416;450;164}
T{166;314;446}
T{154;314;167}
T{157;142;156}
T{171;434;423}
T{357;172;434}
T{499;173;174}
T{162;487;176}
T{167;166;182}
T{157;186;170}
T{173;191;174}
T{192;174;490}
T{361;177;176}
T{318;196;179}
T{180;196;419}
T{181;197;182}
T{185;199;200}
T{358;185;200}
T{187;201;188}
T{205;191;204}
T{192;206;207}
T{192;207;175}
T{392;421;195}
T{195;210;211}
T{195;211;196}
T{362;419;212}
T{197;362;213}
T{215;200;199}
T{219;452;218}
T{312;470;350}
T{194;224;209}
T{210;227;425}
T{213;212;229}
T{217;231;333}
T{232;218;311}
T{460;466;220}
T{221;486;234}
T{221;464;312}
T{224;225;209}
T{239;227;226}
T{241;497;317}
T{310;340;386}
T{231;216;399}
T{234;249;235}
T{464;472;222}
T{222;398;331}
T{251;237;384}
T{395;251;252}
T{395;238;251}
T{239;253;240}
T{246;436;259}
T{441;260;247}
T{415;261;262}
T{261;415;248}
T{458;398;265}
T{266;384;250}
T{395;268;253}
T{269;478;253}
T{256;255;272}
T{447;259;258}
T{275;276;260}
T{278;262;277}
T{369;411;282}
T{369;435;267}
T{435;268;252}
T{269;268;284}
T{408;378;270}
T{271;287;272}
T{274;379;289}
T{274;290;367}
T{367;291;413}
T{413;292;275}
T{275;293;276}
T{277;295;278}
T{381;281;368}
T{281;300;282}
T{496;301;302}
T{283;496;302}
T{283;303;284}
T{284;304;285}
T{286;285;305}
T{286;306;378}
T{378;307;329}
T{287;329;308}
T{21;410;0}
T{364;410;22}
T{364;390;2}
T{390;429;432}
T{467;6;385}
T{387;7;467}
T{389;8;387}
T{24;9;389}
T{352;326;12}
T{326;491;13}
T{26;17;442}
T{26;323;18}
T{323;382;19}
T{28;22;21}
T{22;29;325}
T{488;385;32}
T{448;387;33}
T{448;389;387}
T{355;437;391}
T{322;355;471}
T{352;322;35}
T{453;35;36}
T{324;37;50}
T{451;324;360}
T{360;394;442}
T{40;323;39}
T{42;473;28}
T{45;31;388}
T{45;349;32}
T{493;33;400}
T{50;37;49}
T{50;51;324}
T{474;360;51}
T{58;444;349}
T{371;493;316}
T{46;371;60}
T{439;47;471}
T{420;48;61}
T{49;62;309}
T{51;404;338}
T{337;372;53}
T{372;54;53}
T{67;359;66}
T{70;316;59}
T{72;342;60}
T{404;461;78}
T{79;63;338}
T{81;337;80}
T{82;372;337}
T{84;319;65}
T{319;67;66}
T{87;401;86}
T{68;87;88}
T{89;69;88}
T{91;72;71}
T{75;332;93}
T{77;336;461}
T{320;334;79}
T{334;445;409}
T{370;82;81}
T{99;85;84}
T{489;380;85}
T{380;430;86}
T{430;321;87}
T{105;377;90}
T{92;73;366}
T{94;106;335}
T{336;427;107}
T{124;426;109}
T{489;111;315}
T{115;105;343}
T{377;116;347}
T{132;365;117}
T{118;462;365}
T{375;443;120}
T{346;375;121}
T{393;122;123}
T{109;393;123}
T{127;315;111}
T{113;463;373}
T{345;119;418}
T{141;128;127}
T{142;428;128}
T{479;463;469}
T{376;402;145}
T{146;131;402}
T{153;138;137}
T{423;397;469}
T{479;469;397}
T{143;144;130}
T{144;438;145}
T{483;499;160}
T{341;459;147}
T{327;164;450}
T{151;450;152}
T{446;165;431}
T{168;156;155}
T{481;170;158}
T{170;159;158}
T{454;487;161}
T{363;416;164}
T{179;431;165}
T{156;498;169}
T{186;414;170}
T{187;188;189}
T{191;173;190}
